Id,EssayText,Score1,Score2
25954,"light gray ::  The darker of color the , the hoter it g ets",0,1
25955,light gray :: i think it will affect it by the doghou se atrackting heat and if neede they could paint it another color when it gets colder of warmer,1,0
25963,black :: Well the darker the lid is the more tempayure goes into the jar. and the avarege of the black lid was 53(DEG)C.,1,0
25964,white :: they would want to choose white for the summer because it wont attract alot of heat. they would want to use black for the winter to attract more heat,0,1
25965,"dark gray ::  All choosable colors are waht you might call a 'double edged sword' because, altough the dark colors will keep the dog warm in winter, it'll make him to hot in summer. And while the light col ors will keep him cool in summer, they wont do much for him in winter.",0,1
25967,light gray :: Light Gray Is The Best Color To Use Because I tself Is That Dark Of A Color So The Dog Wont Burn Up(Darker Color=Increa se In Heat Tempeture)And Not That Light That The Dog Would Be Cold.,1,0
25975,"white ::  The color might affect the dog house just a l ittle bit, because the white color had the lowest temp. compared to the b lack wich its average was 53. Thats a(n) 11 (DEG)c diferanc an the dark grey was a(n) 6(DEG)c differance. also the light gray was a(n) 3(DEG)c differance.",1,2
25980,black :: Black is my choice because if it kept the jar warm for ten minutes then black would be able to keep a doghouse warm for longer.,1,0
26007,"white ::  On a hot summer day, it's easy for dogs to ge t overheated, harming them and even killing them. Therefore, white is the best color of paint to use because the air inside of it only increases b y 18(DEG)C after ten minutes of exposure to light and heat. With black p aint, it increases by 29(DEG)C, which could definately be detrimental to a dogs health.",2,1
26009,white ::  I think the dog house should be white because it would keep the dog cool in the hot summer sun.,1,0
26012,"light gray ::  This would affect the doghouse because some l ight would be attracted to the house but not too much. In their experimen t the light gray lids tempature was 45(DEG). This would be a good tempat ure for the dog house because in the summer the dog would have enough sha de so that it would not over heat, but in the winter it would be warm eno ugh so that the dog would not be cold.",2,1
26029,"black :: Black would be a good color for the doghouse because black absorbs more heat. Black absorbs more heat because it is made of no color so it does not reflect any color of light which means it absorbs all the light. In the experiment, the black held an average of 53(DEG) C after being under the lamp for ten minutes. The white lid had an average inside temperature of 42(DEG)C after beign under the lamp for ten minutes. This is a difference of 11(DEG)C and is because white is made up of all the colors so it reflects all colors of light whereas the black relfects no light.",2,1
26052,black :: Dark colors like black and dark gray absorb m ore energy and make it hotter than if I used white or light gray.,1,2
26075,"light gray :: The darker the color, the warmer the doghouse would be (black warmest 54(DEG)C). The dog might overheat if the doghouse is too hot. the lighter the color, the colder the doghouse (white lowest 41(DEG)C). They wouldnt want the doghouse to be uncomfortibly cold. so dark grey or light grey would be best (avg. 46.5(DEG)C).",1,2
26078,"light gray ::  Light gray would be the best color for the do g house because it would absorb some heat, but would not absorb as much a sthe color black. If they chose black they dog house would absorb to much heat as shown in the experement that after just 10 minutes the temperatu re of the black lid jar rose 29(DEG)c but the light grey lid jar only ro se 21(DEG)c. Since black absorbs so much heat, it could cause the dog to be to hot, but light grey allows the dog to still have some heat just no t as much.",2,1
26082,white ::  White will be better for the doghouse because it will be more heat efficiant and will let in less heat. if black was u sed it absorbs more heat then lighter colors would.,1,0
26088,"white :: The best one would be white, because the whit e one absorbs less energy. The black one absorbs a lot of energy, the ave rage of the black one was 53(DEG)C. Average for the dark gray was 48(DEG)C. The average for the light gray was 45(DEG)C, and the white wa s 42(DEG)C. The darker the color the more energy it absorbs. The lighter the lesser it absorbs energy.",1,0
26094,white ::  i chose white because the darker colors absorb more heat energy that the lighter colors,1,0
26097,black :: if the doghouse is black then it will be warm er. i know this because the jar with the black lid h ad an average temperature of 53(DEG)c,2,1
26100,light gray :: Light gray might affect the the doghouse by k eeping the inside colder for the dog.,0,1
26106,black :: the darker the lid color the greater the incr ease in air temperature,2,1
26107,black ::  The wood will be hot,0,1
