Id,EssayText,Score1,Score2
3538,To draw a conclusion I would figure out the patium to this data table. B Two way I think the students could of improved on this data table would be to take step eight & make sure they're right.,0,0
3019,"Conclusion, the tape has stretched more because of the weight level has a high level of density. To improve, they should make a bar graph.",0,0
3589,My conclasion is that T 2 had a better amount stretched than T 1 had. Also T2 had more plastic types than T1.,0,0
3587,Trial D has better performed better.,0,0
4030,The student is conclusion is A student performed the following investigation to test four different polymer plastics for stretchability and the two ways the student could is the student not talk procedure polymer and attach a clean to the bottom edge on the plastic sample.,0,0
3143,In conclusion the students data show that when the plastic was stretch each material stretched only 1-2 mm. This is not a very big change in length. The data also showed that for one of the plastics after stretched lost a mm of length. So this was not a very succsecfull lab. ^P One thing that they could do to improve this is to tell us what kind of plastic to use so the experiment is easier to test and also to have a control variable to really see the change in plastics.,0,0
3558,My conclusion is that they did a pretty good job setting up the data table. They not only tried it once they tried it twice. One way they could of done a better job by instead of the data table they shouldn't did a bar graph.,0,0
3426,A. Based on the data I conclude plastic D is the stretchiest type of plastic. In both trials the plastic stretched the same amount (20mm) ^p B. One way the students could have improved the experiment was to record anything that went wrong.  Another way was to create a graph.,0,0
3370,"Plastic Type D stretched the most but on the second trial plastic Type A made the most difference. To improve this project the student could have hung the plastic from a higher surface to see if gravity would stretch it more. Also, the student could have put weights in the middle of the plastic to test if its middle would stretch more and be more durable.",0,0
3603,The conclusion of this lab shows that in the first trial the plastic was stretched 2mm. Trial two it was stretched 1mm. Supprisingly in the third trial it actually got smaller by 1mm. Also the last trial it stayed the same length. Two improvements could have been how the students should have made the weights heavier and should have made a clearer data table.,0,0
3259,"One way the student could improve the experiment better is by putting the plastic in both directions at the same time. Another way he could improve is he could add heavier weights to get better data. ^p In conclusion when he added the weights to one end that made the plastic stretch and, increasing its size.",0,0
2915,"a) The plastic did in fact stretch only in to 23 mm ^p b) The student could have used more weights on the second trial, or maybe on the second trial let it beng longer.",0,0
3056,"This experiment didn't seem to work out very well. Judging by the data table, the experiment didn't seem to prove anything. There are no significant changes in the lengths of the plastics. The first three steps of the experiment are good, but rather than removing the weights, the student should just keep adding more and more weights until the plastic, finally stops. That would really show how much the plastic could stretch. Another way to improve the experiment is to conduct a third trial. An experiment is more, valid when there are more and more trials.",1,1
3648,Students could have made his or her own hypothisis to test. Also should have the procedure more than 2 times.,1,1
3136,A: I think that plastic D in both trials had the most weights out of the three other plastics from the student's data. ^P B: Two ways that the student could have improved the experimental design is one that the student could have done five trials instead of two to see the difference. Also instead of four plastics but five he or she could improve the statement too.,1,1
3974,"a) Plastic B was definitely the most stretchy and of all the plastics. ^p B) He could have recorded how much the plastic stretched at certain intervals of time, maybe every minute. he also could have tested both plastics each to back. The same way twice in 3 trials.",1,1
